,date,category,size,quantity,sales
332,03/03/2023,Veggie,L,13,248.8
333,03/03/2023,Veggie,M,8,127.5
334,03/03/2023,Veggie,S,8,98.25
335,03/03/2023,Chicken,L,12,249.0
336,03/03/2023,Chicken,M,12,201.0
337,03/03/2023,Chicken,S,4,51.0
338,03/03/2023,Classic,L,16,282.75
339,03/03/2023,Classic,M,20,308.0
340,03/03/2023,Classic,S,18,202.75
341,03/03/2023,Classic,XL,1,25.5
342,03/03/2023,Classic,XXL,1,35.95
343,03/04/2023,Supreme,L,15,310.25
344,03/04/2023,Supreme,M,8,131.25
345,03/04/2023,Supreme,S,12,172.05
346,03/04/2023,Veggie,L,20,393.8
347,03/04/2023,Veggie,M,5,80.0
348,03/04/2023,Veggie,S,7,84.75
349,03/04/2023,Chicken,L,16,332.0
350,03/04/2023,Chicken,M,9,150.75
351,03/04/2023,Chicken,S,1,12.75
352,03/04/2023,Classic,L,14,251.5
353,03/04/2023,Classic,M,8,114.75
354,03/04/2023,Classic,S,17,201.0
355,03/04/2023,Classic,XL,2,51.0
356,03/05/2023,Supreme,L,13,268.25
357,03/05/2023,Supreme,M,9,147.75
358,03/05/2023,Supreme,S,5,84.05
359,03/05/2023,Veggie,L,10,197.45
360,03/05/2023,Veggie,M,9,144.75
361,03/05/2023,Veggie,S,5,60.0
362,03/05/2023,Chicken,L,17,352.75
363,03/05/2023,Chicken,M,5,83.75
364,03/05/2023,Chicken,S,8,102.0
365,03/05/2023,Classic,L,12,212.0
366,03/05/2023,Classic,M,7,103.75
367,03/05/2023,Classic,S,7,75.0
368,03/05/2023,Classic,XL,2,51.0
369,03/06/2023,Supreme,L,13,267.75
370,03/06/2023,Supreme,M,11,180.5
371,03/06/2023,Supreme,S,6,85.9
372,03/06/2023,Veggie,L,19,370.65
373,03/06/2023,Veggie,M,4,61.5
374,03/06/2023,Veggie,S,8,98.75
375,03/06/2023,Chicken,L,13,269.75
376,03/06/2023,Chicken,M,15,251.25
377,03/06/2023,Chicken,S,6,76.5
378,03/06/2023,Classic,L,8,155.75
379,03/06/2023,Classic,M,13,194.75
380,03/06/2023,Classic,S,11,126.0
381,03/07/2023,Classic,XL,2,51.0
382,03/07/2023,Supreme,L,14,288.5
383,03/07/2023,Supreme,M,12,197.5
384,03/07/2023,Supreme,S,10,135.65
385,03/07/2023,Veggie,L,9,173.15
386,03/07/2023,Veggie,M,13,202.0
387,03/07/2023,Veggie,S,12,148.5
388,03/07/2023,Chicken,L,9,186.75
389,03/07/2023,Chicken,M,12,201.0
390,03/07/2023,Chicken,S,1,12.75
391,03/07/2023,Classic,L,16,312.75
392,03/07/2023,Classic,M,12,171.75
393,03/07/2023,Classic,S,16,185.25
394,03/08/2023,Classic,XL,2,51.0
395,03/08/2023,Supreme,L,12,247.0
396,03/08/2023,Supreme,M,14,230.0
397,03/08/2023,Supreme,S,16,210.15
398,03/08/2023,Veggie,L,19,366.45
399,03/08/2023,Veggie,M,13,206.25
400,03/08/2023,Veggie,S,3,36.75
401,03/08/2023,Chicken,L,13,269.75
402,03/08/2023,Chicken,M,10,167.5
403,03/08/2023,Chicken,S,9,114.75
404,03/08/2023,Classic,L,18,328.0
405,03/08/2023,Classic,M,13,191.25
406,03/09/2023,Classic,S,25,284.0
407,03/09/2023,Classic,XL,1,25.5
408,03/09/2023,Supreme,L,26,537.5
409,03/09/2023,Supreme,M,8,131.75
410,03/09/2023,Supreme,S,11,137.25
411,03/09/2023,Veggie,L,20,391.15
412,03/09/2023,Veggie,M,5,79.5
413,03/09/2023,Veggie,S,6,74.0
414,03/09/2023,Chicken,L,12,249.0
415,03/09/2023,Chicken,M,13,217.75
416,03/09/2023,Chicken,S,7,89.25
417,03/09/2023,Classic,L,15,268.75
418,03/09/2023,Classic,M,8,114.0
419,03/10/2023,Classic,S,18,201.75
420,03/10/2023,Supreme,L,9,186.75
421,03/10/2023,Supreme,M,16,262.25
422,03/10/2023,Supreme,S,11,148.15
423,03/10/2023,Veggie,L,15,295.45
424,03/10/2023,Veggie,M,11,174.75
425,03/10/2023,Veggie,S,10,120.75
426,03/10/2023,Chicken,L,19,394.25
427,03/10/2023,Chicken,M,8,134.0
428,03/10/2023,Chicken,S,9,114.75
429,03/10/2023,Classic,L,5,97.25
430,03/10/2023,Classic,M,16,233.5
431,03/10/2023,Classic,S,14,158.25
432,03/11/2023,Classic,XL,3,76.5
433,03/11/2023,Supreme,L,19,392.75
434,03/11/2023,Supreme,M,13,213.5
435,03/11/2023,Supreme,S,3,48.65
436,03/11/2023,Veggie,L,16,317.15
437,03/11/2023,Veggie,M,7,113.75
438,03/11/2023,Veggie,S,7,84.75
439,03/11/2023,Chicken,L,18,373.5
440,03/11/2023,Chicken,M,13,217.75
441,03/11/2023,Chicken,S,9,114.75
442,03/11/2023,Classic,L,14,256.75
443,03/11/2023,Classic,M,8,116.75
444,03/11/2023,Classic,S,18,205.5
445,03/12/2023,Classic,XL,7,178.5
446,03/12/2023,Supreme,L,15,310.75
447,03/12/2023,Supreme,M,9,147.5
448,03/12/2023,Supreme,S,10,147.05
449,03/12/2023,Veggie,L,14,260.6
450,03/12/2023,Veggie,M,9,145.0
451,03/12/2023,Veggie,S,6,72.75
452,03/12/2023,Chicken,L,10,207.5
453,03/12/2023,Chicken,M,19,318.25
454,03/12/2023,Chicken,S,10,127.5
455,03/12/2023,Classic,L,9,171.0
456,03/12/2023,Classic,M,15,221.0
457,04/01/2023,Classic,S,22,251.25
458,04/01/2023,Classic,XL,3,76.5
459,04/01/2023,Supreme,L,12,248.5
460,04/01/2023,Supreme,M,9,148.5
461,04/01/2023,Supreme,S,9,123.15
462,04/01/2023,Veggie,L,7,129.05
463,04/01/2023,Veggie,M,13,207.25
464,04/01/2023,Veggie,S,14,170.75
465,04/01/2023,Chicken,L,19,394.25
466,04/01/2023,Chicken,M,8,134.0
467,04/01/2023,Chicken,S,10,127.5
468,04/01/2023,Classic,L,10,184.5
469,04/02/2023,Classic,M,10,140.25
470,04/02/2023,Classic,S,15,175.5
471,04/02/2023,Supreme,L,14,289.0
472,04/02/2023,Supreme,M,15,246.25
473,04/02/2023,Supreme,S,10,135.4
474,04/02/2023,Veggie,L,21,408.3
475,04/02/2023,Veggie,M,9,143.0
476,04/02/2023,Veggie,S,6,72.0
477,04/02/2023,Chicken,L,12,249.0
478,04/02/2023,Chicken,M,8,134.0
479,04/02/2023,Chicken,S,6,76.5
480,04/02/2023,Classic,L,15,262.25
481,04/02/2023,Classic,M,15,231.0
482,04/03/2023,Classic,S,18,205.0
483,04/03/2023,Classic,XL,3,76.5
484,04/03/2023,Supreme,L,15,310.75
485,04/03/2023,Supreme,M,12,197.25
486,04/03/2023,Supreme,S,6,85.4
487,04/03/2023,Veggie,L,14,266.15
488,04/03/2023,Veggie,M,8,128.5
489,04/03/2023,Veggie,S,6,72.5
490,04/03/2023,Chicken,L,16,332.0
491,04/03/2023,Chicken,M,10,167.5
492,04/03/2023,Chicken,S,7,89.25
493,04/03/2023,Classic,L,7,129.0
494,04/03/2023,Classic,M,12,177.0
495,04/04/2023,Classic,S,13,146.5
496,04/04/2023,Supreme,L,8,165.5
497,04/04/2023,Supreme,M,6,98.25
498,04/04/2023,Supreme,S,11,193.0
499,04/04/2023,Veggie,L,12,229.65
500,04/04/2023,Veggie,M,9,146.0
501,04/04/2023,Veggie,S,3,36.5
502,04/04/2023,Chicken,L,13,269.75
503,04/04/2023,Chicken,M,17,284.75
504,04/04/2023,Chicken,S,5,63.75
505,04/04/2023,Classic,L,8,149.5
506,04/04/2023,Classic,M,11,166.25
507,04/04/2023,Classic,S,9,99.5
508,04/05/2023,Supreme,L,9,185.25
509,04/05/2023,Supreme,M,5,82.0
510,04/05/2023,Supreme,S,6,85.65
511,04/05/2023,Veggie,L,16,301.4
512,04/05/2023,Veggie,M,8,128.5
513,04/05/2023,Veggie,S,4,49.25
514,04/05/2023,Chicken,L,11,228.25
515,04/05/2023,Chicken,M,10,167.5
516,04/05/2023,Chicken,S,7,89.25
517,04/05/2023,Classic,L,16,284.5
518,04/05/2023,Classic,M,14,210.75
519,04/05/2023,Classic,S,15,170.0
520,04/06/2023,Classic,XL,2,51.0
521,04/06/2023,Supreme,L,9,186.25
522,04/06/2023,Supreme,M,8,131.5
523,04/06/2023,Supreme,S,3,37.5
524,04/06/2023,Veggie,L,18,344.1
525,04/06/2023,Veggie,M,7,113.5
526,04/06/2023,Veggie,S,5,60.75
527,04/06/2023,Chicken,L,16,332.0
528,04/06/2023,Chicken,M,15,251.25
529,04/06/2023,Chicken,S,3,38.25
530,04/06/2023,Classic,L,9,157.0
531,04/06/2023,Classic,M,8,121.0
532,04/07/2023,Classic,S,17,193.5
533,04/07/2023,Classic,XL,2,51.0
534,04/07/2023,Supreme,L,13,268.75
535,04/07/2023,Supreme,M,15,245.5
536,04/07/2023,Supreme,S,15,208.05
537,04/07/2023,Veggie,L,13,250.55
538,04/07/2023,Veggie,M,9,145.25
539,04/07/2023,Veggie,S,3,37.0
540,04/07/2023,Chicken,L,15,311.25
541,04/07/2023,Chicken,M,14,234.5
542,04/07/2023,Chicken,S,5,63.75
543,04/07/2023,Classic,L,9,162.0
544,04/08/2023,Classic,M,8,120.25
545,04/08/2023,Classic,S,13,149.75
546,04/08/2023,Classic,XL,1,25.5
547,04/08/2023,Supreme,L,11,227.25
548,04/08/2023,Supreme,M,13,214.25
549,04/08/2023,Supreme,S,10,135.15
550,04/08/2023,Veggie,L,20,382.45
551,04/08/2023,Veggie,M,8,127.5
552,04/08/2023,Veggie,S,5,60.5
553,04/08/2023,Chicken,L,27,560.25
554,04/08/2023,Chicken,M,9,150.75
555,04/08/2023,Chicken,S,6,76.5
556,04/08/2023,Classic,L,15,265.0
557,04/09/2023,Classic,M,14,204.25
558,04/09/2023,Classic,S,20,230.75
559,04/09/2023,Classic,XL,3,76.5
560,04/09/2023,Classic,XXL,1,35.95
561,04/09/2023,Supreme,L,13,268.25
562,04/09/2023,Supreme,M,19,312.0
563,04/09/2023,Supreme,S,11,159.3
564,04/09/2023,Veggie,L,13,249.5
565,04/09/2023,Veggie,M,5,81.5
566,04/09/2023,Veggie,S,7,84.0
567,04/09/2023,Chicken,L,17,352.75
568,04/09/2023,Chicken,M,8,134.0
569,04/09/2023,Chicken,S,7,89.25
570,04/10/2023,Classic,L,6,115.0
571,04/10/2023,Classic,M,9,139.75
572,04/10/2023,Classic,S,15,164.0
573,04/10/2023,Classic,XL,4,102.0
574,04/10/2023,Supreme,L,11,225.75
575,04/10/2023,Supreme,M,13,213.5
576,04/10/2023,Supreme,S,11,148.4
577,04/10/2023,Veggie,L,16,306.0
578,04/10/2023,Veggie,M,13,208.25
579,04/10/2023,Veggie,S,10,120.5
580,04/10/2023,Chicken,L,19,394.25
581,04/10/2023,Chicken,M,9,150.75
582,04/11/2023,Chicken,S,7,89.25
583,04/11/2023,Classic,L,10,183.5
584,04/11/2023,Classic,M,13,196.0
585,04/11/2023,Classic,S,10,114.0
586,04/11/2023,Classic,XL,1,25.5
587,04/11/2023,Supreme,L,8,165.5
588,04/11/2023,Supreme,M,11,179.75
589,04/11/2023,Supreme,S,8,110.4
590,04/11/2023,Veggie,L,14,269.6
591,04/11/2023,Veggie,M,11,176.5
592,04/11/2023,Veggie,S,7,86.25
593,04/11/2023,Chicken,L,12,249.0
594,04/11/2023,Chicken,M,10,167.5
595,04/12/2023,Chicken,S,6,76.5
596,04/12/2023,Classic,L,15,284.25
597,04/12/2023,Classic,M,9,129.5
598,04/12/2023,Classic,S,18,199.0
599,04/12/2023,Classic,XL,1,25.5
600,04/12/2023,Classic,XXL,1,35.95
601,04/12/2023,Supreme,L,9,186.25
602,04/12/2023,Supreme,M,6,98.75
603,04/12/2023,Supreme,S,7,86.75
604,04/12/2023,Veggie,L,15,290.6
605,04/12/2023,Veggie,M,5,78.75
606,04/12/2023,Veggie,S,5,60.5
607,04/12/2023,Chicken,L,15,311.25
608,05/01/2023,Chicken,M,11,184.25
609,05/01/2023,Chicken,S,9,114.75
610,05/01/2023,Classic,L,12,226.0
611,05/01/2023,Classic,M,15,221.75
612,05/01/2023,Classic,S,12,135.0
613,05/01/2023,Classic,XL,2,51.0
614,05/01/2023,Supreme,L,11,227.25
615,05/01/2023,Supreme,M,17,279.25
616,05/01/2023,Supreme,S,4,49.75
617,05/01/2023,Veggie,L,5,95.4
618,05/01/2023,Veggie,M,8,129.25
619,05/01/2023,Veggie,S,8,97.0
620,05/02/2023,Chicken,L,15,311.25
621,05/02/2023,Chicken,M,13,217.75
622,05/02/2023,Chicken,S,10,127.5
623,05/02/2023,Classic,L,14,234.0
624,05/02/2023,Classic,M,11,168.25
625,05/02/2023,Classic,S,20,227.25
626,05/02/2023,Classic,XL,2,51.0
627,05/02/2023,Supreme,L,13,269.25
628,05/02/2023,Supreme,M,14,230.25
629,05/02/2023,Supreme,S,15,220.2
630,05/02/2023,Veggie,L,13,253.4
631,05/02/2023,Veggie,M,15,236.0
632,05/03/2023,Veggie,S,8,96.75
633,05/03/2023,Chicken,L,9,186.75
634,05/03/2023,Chicken,M,10,167.5
635,05/03/2023,Chicken,S,6,76.5
636,05/03/2023,Classic,L,6,111.0
637,05/03/2023,Classic,M,11,160.5
638,05/03/2023,Classic,S,13,145.25
639,05/03/2023,Supreme,L,16,330.0
640,05/03/2023,Supreme,M,5,82.25
